@timestamp,addr_new,addr_old,conts_name,value,name,gu_name,location.lat,location.lon
,대림로 2,동작구 신대방동 643-1,신대방역 주차장,"이용시간 : 연중무휴(24시간)
이용요금 : 무료
1회 이용시간 : 1회 2일 이내",이용안내,동작구,37.487421,126.912968
,증산로 476,은평구 응암동 114-10,응암역 주차장,"이용시간
08:00~19:00(평일),
동절기(11~2월) : 10:00~17:00(토？일？공휴일)
하절기(3~10월) : 10:00~18:00(토？일？공휴일)
이용요금 : 무료(1회 10일 주차가능)",이용안내,은평구,37.598612509,126.915830571
,안양천로 1156,양천구 목동 136-1,신목동역 주차장,"이용시간 :연중무휴(24시간)
이용요금 : 무료",이용안내,양천구,37.544257653,126.883505439
,경인로40길 25,구로구 개봉동 471-8,개봉역 주차장,"이용시간 : 연중무휴(24시간)
이용요금 : 무료",이용안내,구로구,37.4953802,126.8593771
,영신로19길 8,영등포구 영등포본동 618-209,영등포역 주차장,"이용시간 : 05:00 ~ 익일 01:00
1회 이용시간 : 1회 10일 주차가능
이용요금 : 무료",이용안내,영등포구,37.514574,126.907088
,도봉로85길 10,강북구 수유3동 229-30,수유역 주차장,"이용시간
06:00~23:00(평일), 
09:00~18:00(토, 일요일, 공휴일)
요금: 1개월(4,000원), 3개원(6,000원)
1회 이용시간 : 지정주차제",이용안내,강북구,37.63801104,127.024694105
,새말로 117-6,구로구 구로5동 1-26,신도림역 주차장,"이용시간 : 연중무휴(24시간)
이용요금 : 무료",이용안내,구로구,37.507507,126.892087
,당산로 123,영등포구 당산동3가 385-1,영등포구청 주차장,"이용시간 : 연중무휴(24시간)
이용요금 : 무료
1회 이용시간 : 1회 10일 주차가능",이용안내,영등포구,37.525959499,126.896351037
,홍제내길 227,서대문구 홍제동 294-85,홍제천 주차장,"이용시간 : 연중무휴(24시간)
이용요금 : 무료",이용안내,서대문구,37.591028,126.941335
,강남대로 708,null,한남대교 남단 하부 보관함,"이용시간 
연중무휴(24시간)
이용요금
10,000원/1년",이용안내,강남구,37.524432,127.015494
,신풍로 28,영등포구 신길동 424-13,신풍역 4번출구 역사내 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,영등포구,37.500183,126.908779
,동일로 903,중랑구 묵동 189-5,먹골역 1번출구 역사내 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,중랑구,37.610915,127.077688
,신내로 232,중랑구 신내동 639-2,봉화산역 1번출구 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,중랑구,37.617591,127.090746
,화랑로 510,노원구 공릉동 59,화랑대역 1번출구 역사내 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,노원구,37.619893,127.084062
,안암로 145,성북구 종암동 30-62,고려대역 2번출구 역사내 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,성북구,37.589967,127.036087
,화랑로 349,성북구 석관동 375-14,석계역 2번출구 보관함,"이용시간 : 05:00~24:00
이용요금 : 무료",이용안내,성북구,37.615126,127.066646
,null,null,수서역 1번출구(지상) 보관함,"이용시간
연중무휴(24시간)
요금
10,000원/1년",이용안내,강남구,37.4873069,127.1006344
,광평로 270,강남구 수서동 713-1,수서역 2번출구(지상) 보관함,"이용시간
연중무휴(24시간)
요금
10,000원/1년",이용안내,강남구,37.487604,127.101683
,영동대로 202,강남구 대치동 50-8,학여울역 지상 보관함,"이용시간
연중무휴(24시간)
요금
10,000원/1년",이용안내,강남구,37.496779,127.070211
,테헤란로 606,강남구 대치동 995-14,삼성역 보관함,"이용시간
연중무휴(24시간)
요금
10,000원/1년",이용안내,강남구,37.508577,127.063946
,오금로 20,송파구 신천동 17-9,잠실나루역 보관함,"이용시간
연중무휴(24시간)
이용요금
무료",이용안내,송파구,37.520942,127.103731
,아차산로 15-8,성동구 성수동1가 656-746,뚝섬역 보관함,"이용시간
연중무휴(24시간)
이용요금
무료",이용안내,성동구,37.547752,127.045939
,아차산로 116,성동구 성수동2가 315-105,성수역 보관함,"이용시간
연중무휴(24시간)
이용요금
무료",이용안내,성동구,37.54431,127.056607
,고산자로 270,성동구 행당동 7,성동구청 보관함,"이용시간
연중무휴(24시간)
이용요금
무료",이용안내,성동구,37.563210622,127.036729993
,광나루로 404,광진구 군자동 342-33,500 어린이대공원역 3번출구 앞,500,대여소번호,광진구,37.54707,127.074272
,능동로 76,광진구 자양동 542-6,501 광진구의회 앞,501,대여소번호,광진구,37.537308,127.070351
,뚝섬로34길 67,광진구 자양동 854-1,502 뚝섬유원지역 1번출구 앞,502,대여소번호,광진구,37.53186,127.067192
,아차산로36길 39,광진구 자양동 227-350,503 더샵스타시티 C동 앞,503,대여소번호,광진구,37.536667,127.073593
,뚝섬로 596,광진구 자양동 608-19,504 신자초교입구교차로,504,대여소번호,광진구,37.53297,127.075935
,아차산로 355,광진구 자양동 779,505 자양사거리 광진아크로텔 앞 ,505,대여소번호,광진구,37.537514,127.082291
,자양로3길 7,광진구 자양동 744-1,515 광양중학교 앞 ,515,대여소번호,광진구,37.530235,127.08683
,광나루로 355,광진구 군자동 356-10,516 광진메디칼 앞,516,대여소번호,광진구,37.548405,127.069366
,동일로 322,광진구 중곡동 612-9,539 군자교교차로,539,대여소번호,광진구,37.559795,127.074203
,능동로 295,광진구 군자동 477-27,540 군자역 7번출구 베스트샵 앞,540,대여소번호,광진구,37.55603,127.078644
,강변역로 53,광진구 구의동 546-6,"542 강변역 1,4번 출구 아래",542,대여소번호,광진구,37.534996,127.094604
,광나루로56길 86,광진구 구의동 546-3,543 구의공원(테크노마트 앞),543,대여소번호,광진구,37.535969,127.094673
,아차산로70길 17-16,광진구 광장동 561-15,544 광남중학교,544,대여소번호,광진구,37.54073,127.102905
,뚝섬로 681,광진구 자양동 658-137,546 DMC빌 앞,546,대여소번호,광진구,37.532478,127.085091
,자양강변길 297,광진구 자양동 591-12,548 자양나들목,548,대여소번호,광진구,37.52977,127.07486
,천호대로 670,광진구 구의동 75-36,549 아차산역 3번출구,549,대여소번호,광진구,37.551224,127.089706
,구의강변로 106,광진구 구의동 199-97,551 구의삼성쉐르빌 앞,551,대여소번호,광진구,37.540062,127.094498
,구의강변로 64,광진구 구의동 601,552 대림아크로리버 앞,552,대여소번호,광진구,37.536579,127.092972
,동일로 459,광진구 중곡동 681,553 중곡 성원APT 앞,553,대여소번호,광진구,37.571255,127.079803
,천호대로 704,광진구 구의동 59-13,554 아차산역 사거리,554,대여소번호,광진구,37.548935,127.09259
,강변역로 17,광진구 구의동 587-41,555 구의3동주민센터,555,대여소번호,광진구,37.537849,127.092171
,능동로 209,광진구 군자동 98-2,571 어린이대공원역6번출구,571,대여소번호,광진구,37.548496,127.07476
,용마산로 132,광진구 중곡동 266-1,572 국립정신 건강센터 앞,572,대여소번호,광진구,37.565536,127.0867
,능동로 216,광진구 구의동 234-22,573 구의문주차장 앞,573,대여소번호,광진구,37.545231,127.084732
,능동로 216,광진구 구의동 135,574 아차산역4번출구,574,대여소번호,광진구,37.551849,127.088982
,용마산로 120,광진구 중곡동 18-71,575 중앙농협 중곡지점,575,대여소번호,광진구,37.564293,127.086937
,아차산로 552,광진구 광장동 203-2,576 광나루역 3번출구,576,대여소번호,광진구,37.54483,127.104263
,구천면로 2,광진구 광장동 303-90,577 광진청소년수련관,577,대여소번호,광진구,37.546547,127.106133
,광나루로 385,광진구 군자동 374-8,584 광진광장 교통섬,584,대여소번호,광진구,37.547829,127.072632
,한천로 329,동대문구 휘경동 367-1,600 휘경2동 주민센터,600,대여소번호,동대문구,37.589912,127.06868
,천호대로27길 35,동대문구 용두동 792-5,601 용신동주민센터,601,대여소번호,동대문구,37.575947,127.037361
,장한로25길 2,동대문구 장안동 469-5,602 장안동 사거리,602,대여소번호,동대문구,37.572174,127.071388
,전농로3가길 2,동대문구 답십리동 273-3,604 답십리초등학교 옆 공원,604,대여소번호,동대문구,37.569656,127.055962
,천호대로 26,동대문구 신설동 97-37,605 신설동역9번출구,605,대여소번호,동대문구,37.5742,127.026497
,겸재로 21,동대문구 휘경동 49-298,606 휘경공고앞,606,대여소번호,동대문구,37.584625,127.07029
,한천로 472,동대문구 이문동 64-6,607 신이문역 2번출구,607,대여소번호,동대문구,37.602711,127.067863
,전농로 190,동대문구 전농동 155-7,608 전농삼성아파트,608,대여소번호,동대문구,37.58131,127.055344
,고산자로 539-1,동대문구 제기동 122-278,609 제기2교,609,대여소번호,동대문구,37.587791,127.037361
,답십리로 130,동대문구 답십리동 476-71,610 동대문중 교차로,610,대여소번호,동대문구,37.573086,127.052162
,천호대로 64,동대문구 용두동 249-1,612 시립동부병원 앞 사거리,612,대여소번호,동대문구,37.573498,127.030472
,천호대로 2,동대문구 신설동 117-21,613 신설동역 10번출구 앞,613,대여소번호,동대문구,37.575272,127.023468
,왕산로 68,동대문구 용두동 119-1,614 용두동 사거리,614,대여소번호,동대문구,37.577686,127.031013
,정릉천동로 36,동대문구 용두동 790-9,615 용두동 레미안허브 리츠아파트 앞,615,대여소번호,동대문구,37.576382,127.03511
,전농로 203-1,동대문구 전농동 141-275,616 시립대 앞,616,대여소번호,동대문구,37.582561,127.054367
,전농로 104,동대문구 답십리동 94-2,617 청솔우성아파트 앞,617,대여소번호,동대문구,37.574203,127.057693
,사가정로 62,동대문구 전농동 314-8,621 동대문중학교 옆,621,대여소번호,동대문구,37.574718,127.053391
,사가정로13길 3,동대문구 전농동 295-61,622 전농사거리 교통섬,622,대여소번호,동대문구,37.577793,127.057831
,서울시립대로29길 5-3,동대문구 전농동 150-88,623 서울시립대 정문 앞,623,대여소번호,동대문구,37.583698,127.053856
,서울시립대로 31,동대문구 전농동 667-2,624 전농동 동아아파트 앞,624,대여소번호,동대문구,37.574188,127.045891
,전농로 38,동대문구 답십리동 266-1,625 답십리초등학교 앞,625,대여소번호,동대문구,37.568192,127.057175
,장한로6길 95,동대문구 장안동 480-19,626 군자교녹지대 동측 앞,626,대여소번호,동대문구,37.561153,127.070969
,장한로 201,동대문구 장안동 301-2,627 장안동삼거리 교통섬,627,대여소번호,동대문구,37.578632,127.071907
,한천로49길 44,동대문구 휘경동 43-270,628 휘봉고등학교 앞,628,대여소번호,동대문구,37.586815,127.067543
,고산자로28가길 2,동대문구 용두동 39-933,630 동대문구 보건소,630,대여소번호,동대문구,37.574852,127.040306
,천호대로 265,동대문구 답십리동 496-14,631 답십리역 1번출구,631,대여소번호,동대문구,37.568184,127.051277
,홍릉로 1,동대문구 청량리동 748,633 청량리 기업은행 앞,633,대여소번호,동대문구,37.580406,127.044823
,이문로 102,동대문구 이문동 287-61,634 외국어대 정문 앞,634,대여소번호,동대문구,37.59602,127.05983
,이문로1길 11,동대문구 청량리동 1-2,635 시조사 앞 (청량고정문 옆),635,대여소번호,동대문구,37.587517,127.052773
,회기로 56,동대문구 청량리동 1-215,636 세종대왕기념관 교차로,636,대여소번호,동대문구,37.5909,127.042587
,회기로 85,동대문구 청량리동 1-135,637 KAIST 경영대학 앞,637,대여소번호,동대문구,37.591614,127.045792
,서울시립대로 163,null,638 서울시립대 정보기술관,638,대여소번호,동대문구,37.583008,127.060974
,서울시립대로 163,동대문구 휘경동 294-187,639 서울시립대 후문,639,대여소번호,동대문구,37.585197,127.060951
,홍릉로 21-1,동대문구 청량리동 706,640 KEB하나은행 청량리역지점,640,대여소번호,동대문구,37.582455,127.044495
,천호대로 129-1,동대문구 용두동 38-2,641 용두역 4번출구,641,대여소번호,동대문구,37.574329,127.038261
,천호대로 233,동대문구 답십리동 465-137,642 신답역 빵굼터 앞,642,대여소번호,동대문구,37.570156,127.048584
,장안벚꽃로 77,동대문구 장안동 356,643 동대문구민체육센터,643,대여소번호,동대문구,37.566971,127.074417
,동교로8길 58,마포구 합정동 459-8,101 합정동 주민센터,101,대여소번호,마포구,37.549561,126.905754
,월드컵로 82,마포구 서교동 441-12,102 망원역1번출구앞,102,대여소번호,마포구,37.556293,126.910141
,월드컵로 65,마포구 망원동 378-18,103 망원역2번출구앞,103,대여소번호,마포구,37.554951,126.910835
